id,name,description,price,address,type,thumbnail,bedrooms,bathrooms,parking
1,Casa aconchegante,Descrição da casa aconchegante,250000,123 Rua das Flores,Casa,thumbnail1.jpg,3,2,2
2,Apartamento moderno,Descrição do apartamento moderno,150000,456 Avenida Principal,Apartamento,thumbnail2.jpg,2,1,1
3,Chalé nas montanhas,Descrição do chalé nas montanhas,350000,789 Estrada da Montanha,Chalé,thumbnail3.jpg,4,2,2
4,Condomínio de luxo,Descrição do condomínio de luxo,500000,101 Condomínio dos Sonhos,Casa,thumbnail4.jpg,5,3,2
5,Loft urbano,Descrição do loft urbano,200000,11 Rua da Cidade,Loft,thumbnail5.jpg,1,1,0
6,Casa à beira-mar,Descrição da casa à beira-mar,750000,21 Avenida da Praia,Casa,thumbnail6.jpg,4,3,2
7,Apartamento com vista,Descrição do apartamento com vista,300000,87 Rua Panorâmica,Apartamento,thumbnail7.jpg,3,2,1
8,Retiro no campo,Descrição do retiro no campo,400000,55 Estrada Rural,Chalé,thumbnail8.jpg,3,2,2
9,Condomínio familiar,Descrição do condomínio familiar,450000,123 Condomínio Feliz,Casa,thumbnail9.jpg,4,2,2
10,Estúdio no centro,Descrição do estúdio no centro,120000,33 Rua Central,Estúdio,thumbnail10.jpg,1,1,0
11,Apartamento com jardim,Descrição do apartamento com jardim,180000,101 Rua Verde,Apartamento,thumbnail11.jpg,2,1,1
12,Chalé aconchegante,Descrição do chalé aconchegante,280000,45 Estrada da Serra,Chalé,thumbnail12.jpg,3,2,2
13,Casa de campo,Descrição da casa de campo,320000,55 Estrada do Campo,Casa,thumbnail13.jpg,4,3,2
14,Loft no centro histórico,Descrição do loft no centro histórico,210000,21 Rua Histórica,Loft,thumbnail14.jpg,2,1,1
15,Apartamento luminoso,Descrição do apartamento luminoso,170000,88 Rua da Luz,Apartamento,thumbnail15.jpg,1,1,0
16,Casa rústica,Descrição da casa rústica,390000,72 Estrada Rural,Casa,thumbnail16.jpg,3,2,2
17,Condomínio exclusivo,Descrição do condomínio exclusivo,550000,99 Condomínio de Luxo,Casa,thumbnail17.jpg,4,3,3
18,Estúdio urbano,Descrição do estúdio urbano,130000,20 Rua da Cidade,Estúdio,thumbnail18.jpg,1,1,0
19,Chalé com lareira,Descrição do chalé com lareira,320000,25 Estrada da Montanha,Chalé,thumbnail19.jpg,2,2,2
20,Apartamento de designer,Descrição do apartamento de designer,240000,66 Avenida Moderna,Apartamento,thumbnail20.jpg,2,1,1
21,Retiro tranquilo,Descrição do retiro tranquilo,300000,100 Estrada Serena,Chalé,thumbnail21.jpg,3,2,2
22,Casa espaçosa,Descrição da casa espaçosa,450000,44 Rua Tranquila,Casa,thumbnail22.jpg,4,3,2
23,Loft no centro da cidade,Descrição do loft no centro da cidade,160000,75 Rua Movimentada,Loft,thumbnail23.jpg,1,1,0
24,Apartamento luxuoso,Descrição do apartamento luxuoso,580000,15 Avenida Elegante,Apartamento,thumbnail24.jpg,3,2,2
